date,open,high,low,close,volume
2024-08-06,203.51,205.75,200.2,200.4,9204434.0
2024-08-07,202.47,204.91,201.79,204.06,7761199.0
2024-08-08,203.47,206.47,202.9,205.8,5540240.0
2024-08-12,207.73,208.09,205.4,207.94,6387942.0
2024-08-13,207.74,210.755,207.12,210.24,6999809.0
2024-08-14,213.0,213.89,211.1,211.55,7001005.0
2024-08-15,211.69,214.09,211.585,213.97,7931234.0
2024-08-19,215.0,216.0,213.68,214.52,5640223.0
2024-08-20,214.43,215.0,212.84,214.6,5202472.0
2024-08-21,214.58,216.8,214.335,216.63,5247098.0
2024-08-22,217.6,219.19,216.5,218.31,7213981.0
2024-08-26,219.51,220.42,219.19,220.18,5185221.0
2024-08-27,219.25,222.21,219.19,221.29,6506402.0
2024-08-28,222.15,222.98,218.94,222.21,6416149.0
2024-08-29,222.5,225.48,221.93,224.8,8574128.0
2024-09-02,222.3,224.1,219.24,220.3,8956089.0
2024-09-03,221.04,222.07,217.21,219.33,7389474.0
2024-09-04,220.15,220.8,216.03,217.63,8067874.0
2024-09-05,217.6,218.74,211.09,212.46,7775698.0
2024-09-09,218.6,218.64,200.61,205.56,28406903.0
2024-09-10,205.25,207.7,201.831,207.23,13658743.0
2024-09-11,207.65,208.78,204.89,206.6,9055756.0
2024-09-12,206.86,207.8482,203.02,204.32,10226694.0
2024-09-16,207.73,209.93,207.66,209.25,7573345.0
2024-09-17,209.01,211.3361,206.7,207.53,8259876.0
2024-09-18,209.78,211.91,207.34,210.48,11185168.0
2024-09-19,209.93,211.415,209.5,211.09,20513074.0
2024-09-23,211.15,212.95,210.37,211.59,7301239.0
2024-09-24,211.68,212.24,208.61,210.19,8976520.0
2024-09-25,211.13,211.7,209.01,209.78,7807480.0
2024-09-26,210.65,212.44,209.33,210.5,7032450.0
2024-09-30,208.9,209.09,206.19,207.04,8540064.0
2024-10-01,207.08,208.95,205.69,207.29,5810931.0
2024-10-02,206.17,206.49,204.34,205.23,7251325.0
2024-10-03,209.3,211.67,206.91,211.22,10113415.0
2024-10-07,210.58,211.33,208.38,210.75,6021772.0
2024-10-08,209.7,214.24,209.38,213.42,7022798.0
2024-10-09,214.81,214.81,211.47,212.84,7919051.0
2024-10-10,215.67,224.6299,215.16,222.29,18320650.0
2024-10-14,223.66,225.45,221.82,222.39,9235825.0
2024-10-15,222.33,223.68,221.04,223.64,6382515.0
2024-10-16,224.27,225.85,223.31,224.42,6453036.0
2024-10-17,225.0,225.92,223.1,225.37,7000543.0
2024-10-21,223.02,225.28,221.1,224.12,9586793.0
2024-10-22,223.66,224.7999,222.53,223.41,6180528.0
2024-10-23,221.83,225.06,221.66,224.98,6002202.0
2024-10-24,225.0,225.62,220.875,222.31,6369720.0
2024-10-28,225.21,226.75,222.81,222.9,6580004.0
2024-10-29,222.54,226.31,221.58,224.41,7110941.0
2024-10-30,224.7,225.69,221.82,221.92,7829932.0
2024-10-31,223.56,226.15,222.7,222.94,6923452.0
2024-11-04,220.03,221.96,220.0,221.49,5600686.0
2024-11-05,235.0,248.0,234.77,247.06,23987753.0
2024-11-06,244.5,244.57,235.22,236.38,16451071.0
2024-11-07,239.34,239.34,235.78,236.98,9502100.0
2024-11-11,240.55,241.46,238.76,239.56,6860956.0
2024-11-12,240.58,244.09,240.31,241.16,11472557.0
2024-11-13,242.415,244.29,241.05,241.87,10172202.0
2024-11-14,241.46,246.42,241.46,245.31,11518836.0
2024-11-18,242.25,245.1509,241.55,243.09,6792660.0
2024-11-19,244.4,244.61,238.64,240.78,9015290.0
2024-11-20,243.23,245.49,242.105,244.76,8783516.0
2024-11-21,243.61,249.15,243.0347,248.55,7997307.0
2024-11-25,250.49,251.0,248.34,249.97,6212142.0
2024-11-26,249.35,251.19,248.771,249.79,5472265.0
2024-11-28,249.86,251.77,249.445,249.72,5494825.0
2024-12-02,248.23,249.04,244.63,244.82,6657694.0
2024-12-03,244.7,245.345,242.23,243.4,7346265.0
2024-12-04,245.39,247.18,244.62,245.48,6572536.0
2024-12-05,245.7,247.74,244.84,247.36,5476538.0
2024-12-09,243.89,247.96,242.22,242.86,9108339.0
2024-12-10,244.0,244.27,242.18,243.53,7884442.0
2024-12-11,243.0,244.1,241.04,241.53,6113771.0
2024-12-12,242.07,242.715,239.1437,239.94,10392749.0
2024-12-16,238.65,239.02,236.63,238.36,8083635.0
2024-12-17,239.0,239.07,229.53,230.37,11322358.0
2024-12-18,232.27,236.36,232.27,232.96,11790773.0
2024-12-19,231.92,239.21,231.5877,237.6,32348414.0
2024-12-23,239.43,242.4922,239.07,242.31,3729092.0
